title,season,number_in_season,number_in_series,original_air_date,weekday,imdb_rating,imdb_votes,us_viewers_in_millions
At Long Last Leave,23,14,500,2012-02-19,Sunday,7.0,580.0,5.77
Exit Through the Kwik-E-Mart,23,15,501,2012-03-04,Sunday,6.9,425.0,5.09
How I Wet Your Mother,23,16,502,2012-03-11,Sunday,7.3,541.0,4.97
"Them, Robot",23,17,503,2012-03-18,Sunday,7.1,493.0,5.25
Beware My Cheating Bart,23,18,504,2012-04-15,Sunday,7.1,470.0,4.86
A Totally Fun Thing That Bart Will Never Do Again,23,19,505,2012-04-29,Sunday,7.4,568.0,5.0
The Spy Who Learned Me,23,20,506,2012-05-06,Sunday,6.9,405.0,4.84
Ned 'n Edna's Blend,23,21,507,2012-05-13,Sunday,6.7,408.0,4.07
Lisa Goes Gaga,23,22,508,2012-05-20,Sunday,4.5,1215.0,4.82
Moonshine River,24,1,509,2012-09-30,Sunday,6.4,597.0,8.08
Treehouse of Horror XXIII,24,2,510,2012-10-07,Sunday,7.3,600.0,6.57
Adventures in Baby-Getting,24,3,511,2012-11-04,Sunday,6.9,460.0,5.65
Gone Abie Gone,24,4,512,2012-11-11,Sunday,6.7,415.0,6.86
Penny-Wiseguys,24,5,513,2012-11-18,Sunday,6.3,426.0,5.06
A Tree Grows in Springfield,24,6,514,2012-11-25,Sunday,6.5,430.0,7.46
The Day the Earth Stood Cool,24,7,515,2012-12-09,Sunday,7.2,493.0,7.44
To Cur with Love,24,8,516,2012-12-16,Sunday,7.2,441.0,3.77
Homer Goes to Prep School,24,9,517,2013-01-06,Sunday,6.9,411.0,8.97
A Test Before Trying,24,10,518,2013-01-13,Sunday,7.0,408.0,5.04
The Changing of the Guardian,24,11,519,2013-01-27,Sunday,6.6,405.0,5.23
Love is a Many-Splintered Thing,24,12,520,2013-02-10,Sunday,6.5,471.0,4.19
Hardly Kirk-ing,24,13,521,2013-02-17,Sunday,7.0,406.0,4.57
Gorgeous Grampa,24,14,522,2013-03-03,Sunday,6.2,423.0,4.66
"Black Eyed, Please",24,15,523,2013-03-10,Sunday,7.0,418.0,4.85
Dark Knight Court,24,16,524,2013-03-17,Sunday,7.1,417.0,4.89
What Animated Women Want,24,17,525,2013-04-14,Sunday,6.5,425.0,4.11
Pulpit Friction,24,18,526,2013-04-28,Sunday,6.5,405.0,4.54
Whiskey Business,24,19,527,2013-05-05,Sunday,6.8,371.0,4.43
The Fabulous Faker Boy,24,20,528,2013-05-12,Sunday,6.3,410.0,4.16
The Saga of Carl,24,21,529,2013-05-19,Sunday,7.2,460.0,4.01
Dangers on a Train,24,22,530,2013-05-19,Sunday,7.0,396.0,4.52
Homerland,25,1,531,2013-09-29,Sunday,7.0,635.0,6.37
Treehouse of Horror XXIV,25,2,532,2013-10-06,Sunday,7.1,654.0,6.42
Four Regrettings and a Funeral,25,3,533,2013-11-03,Sunday,6.5,482.0,5.43
YOLO,25,4,534,2013-11-10,Sunday,6.7,489.0,4.2
Labor Pains,25,5,535,2013-11-17,Sunday,7.1,442.0,4.08
The Kid Is All Right,25,6,536,2013-11-24,Sunday,6.5,468.0,6.78
Yellow Subterfuge,25,7,537,2013-12-08,Sunday,7.0,440.0,6.85
White Christmas Blues,25,8,538,2013-12-15,Sunday,6.5,449.0,8.48
Steal This Episode,25,9,539,2014-01-05,Sunday,7.6,648.0,12.04
Married to the Blob,25,10,540,2014-01-12,Sunday,7.1,475.0,4.83
Specs and the City,25,11,541,2014-01-26,Sunday,7.2,431.0,3.87
Diggs,25,12,542,2014-03-09,Sunday,6.4,473.0,2.69
The Man Who Grew Too Much,25,13,543,2014-03-09,Sunday,6.7,468.0,3.75
The Winter of His Content,25,14,544,2014-03-16,Sunday,6.6,407.0,4.02
The War of Art,25,15,545,2014-03-23,Sunday,7.0,414.0,3.98
You Don't Have to Live Like a Referee,25,16,546,2014-03-30,Sunday,6.9,430.0,3.91
Luca$,25,17,547,2014-04-06,Sunday,6.5,415.0,4.3
Days of Future Future,25,18,548,2014-04-13,Sunday,7.0,504.0,3.64
What to Expect When Bart's Expecting,25,19,549,2014-04-27,Sunday,5.8,445.0,3.45
Brick Like Me,25,20,550,2014-05-04,Sunday,7.7,705.0,4.39
Pay Pal,25,21,551,2014-05-11,Sunday,6.7,402.0,3.66
The Yellow Badge of Cowardge,25,22,552,2014-05-18,Sunday,6.7,416.0,3.28
Clown in the Dumps,26,1,553,2014-09-28,Sunday,5.8,652.0,8.53
The Wreck of the Relationship,26,2,554,2014-10-05,Sunday,6.9,490.0,4.27
Super Franchise Me,26,3,555,2014-10-12,Sunday,6.5,457.0,7.33
Treehouse of Horror XXV,26,4,556,2014-10-19,Sunday,7.3,612.0,7.76
Opposites A-Frack,26,5,557,2014-11-02,Sunday,6.3,442.0,4.22
Simpsorama,26,6,558,2014-11-09,Sunday,7.9,977.0,6.7
Blazed and Confused,26,7,559,2014-11-16,Sunday,6.9,456.0,6.7
Covercraft,26,8,560,2014-11-23,Sunday,6.5,431.0,3.45
I Won't Be Home for Christmas,26,9,561,2014-12-07,Sunday,6.8,432.0,6.52
The Man Who Came to Be Dinner,26,10,562,2015-01-04,Sunday,6.8,578.0,10.62
Bart's New Friend,26,11,563,2015-01-11,Sunday,7.3,434.0,4.28
The Musk Who Fell to Earth,26,12,564,2015-01-25,Sunday,5.8,439.0,3.29
Walking Big & Tall,26,13,565,2015-02-08,Sunday,6.3,377.0,2.78
My Fare Lady,26,14,566,2015-02-15,Sunday,6.7,360.0,2.67
The Princess Guide,26,15,567,2015-03-01,Sunday,6.6,372.0,3.93
Sky Police,26,16,568,2015-03-08,Sunday,6.9,377.0,3.79
Waiting for Duffman,26,17,569,2015-03-15,Sunday,6.7,374.0,3.59
Peeping Mom,26,18,570,2015-04-19,Sunday,6.7,334.0,3.23
The Kids Are All Fight,26,19,571,2015-04-26,Sunday,6.9,347.0,3.33
Let's Go Fly a Coot,26,20,572,2015-05-03,Sunday,6.2,330.0,3.12
Bull-E,26,21,573,2015-05-10,Sunday,6.8,335.0,2.77
Mathlete's Feat,26,22,574,2015-05-17,Sunday,6.9,335.0,2.82
Every Man's Dream,27,1,575,2015-09-27,Sunday,5.9,532.0,3.28
Cue Detective,27,2,576,2015-10-04,Sunday,6.7,395.0,6.02
Puffless,27,3,577,2015-10-11,Sunday,7.2,404.0,3.31
Halloween of Horror,27,4,578,2015-10-18,Sunday,7.5,462.0,3.69
Treehouse of Horror XXVI,27,5,579,2015-10-25,Sunday,6.8,385.0,6.75
Friend with Benefit,27,6,580,2015-11-08,Sunday,6.8,335.0,3.48
Lisa with an 'S',27,7,581,2015-11-22,Sunday,6.3,328.0,5.64
Paths of Glory,27,8,582,2015-12-06,Sunday,7.1,305.0,5.53
Barthood,27,9,583,2015-12-13,Sunday,8.4,698.0,5.97
The Girl Code,27,10,584,2016-01-03,Sunday,6.6,356.0,4.41
Teenage Mutant Milk-Caused Hurdles,27,11,585,2016-01-10,Sunday,6.8,309.0,8.33
Much Apu About Something,27,12,586,2016-01-17,Sunday,6.7,271.0,3.95
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,27,13,587,2016-02-14,Sunday,6.3,252.0,2.89
Gal of Constant Sorrow,27,14,588,2016-02-21,Sunday,6.6,293.0,3.1
Lisa the Veterinarian,27,15,589,2016-03-06,Sunday,6.3,233.0,3.09
The Marge-ian Chronicles,27,16,590,2016-03-13,Sunday,7.3,262.0,3.07
The Burns Cage,27,17,591,2016-04-03,Sunday,6.5,246.0,2.32
How Lisa Got Her Marge Back,27,18,592,2016-04-10,Sunday,6.4,228.0,2.55
Fland Canyon,27,19,593,2016-04-24,Sunday,7.1,229.0,2.77
To Courier with Love,27,20,594,2016-05-08,Sunday,6.7,193.0,2.52
Simprovised,27,21,595,2016-05-15,Sunday,6.4,227.0,2.8
Orange Is the New Yellow,27,22,596,2016-05-22,Sunday,6.9,210.0,2.54
