character_names,season,number_in_season,word_count
Bart Simpson,8,21,50.0
Bart Simpson,8,22,84.0
Bart Simpson,8,23,130.0
Bart Simpson,8,24,60.0
Bart Simpson,8,25,342.0
Bart Simpson,9,1,148.0
Bart Simpson,9,2,116.0
Bart Simpson,9,3,173.0
Bart Simpson,9,4,191.0
Bart Simpson,9,5,142.0
Bart Simpson,9,6,224.0
Bart Simpson,9,7,51.0
Bart Simpson,9,8,69.0
Bart Simpson,9,9,47.0
Bart Simpson,9,10,378.0
Bart Simpson,9,11,80.0
Bart Simpson,9,12,363.0
Bart Simpson,9,13,118.0
Bart Simpson,9,14,404.0
Bart Simpson,9,15,302.0
Bart Simpson,9,16,44.0
Bart Simpson,9,17,147.0
Bart Simpson,9,18,712.0
Bart Simpson,9,19,155.0
Bart Simpson,9,20,33.0
Bart Simpson,9,21,662.0
Bart Simpson,9,22,57.0
Bart Simpson,9,23,250.0
Bart Simpson,9,24,231.0
Bart Simpson,9,25,173.0
Bart Simpson,10,1,151.0
Bart Simpson,10,2,174.0
Bart Simpson,10,3,524.0
Bart Simpson,10,4,181.0
Bart Simpson,10,5,98.0
Bart Simpson,10,6,71.0
Bart Simpson,10,7,180.0
Bart Simpson,10,8,91.0
Bart Simpson,10,9,89.0
Bart Simpson,10,10,27.0
Bart Simpson,10,11,266.0
Bart Simpson,10,12,83.0
Bart Simpson,10,13,23.0
Bart Simpson,10,14,94.0
Bart Simpson,10,15,122.0
Bart Simpson,10,16,150.0
Bart Simpson,10,17,175.0
Bart Simpson,10,18,274.0
Bart Simpson,10,19,74.0
Bart Simpson,10,20,423.0
Bart Simpson,10,21,62.0
Bart Simpson,10,22,47.0
Bart Simpson,10,23,164.0
Bart Simpson,11,1,51.0
Bart Simpson,11,2,444.0
Bart Simpson,11,3,101.0
Bart Simpson,11,4,176.0
Bart Simpson,11,5,142.0
Bart Simpson,11,6,22.0
Bart Simpson,11,7,55.0
Bart Simpson,11,8,81.0
Bart Simpson,11,9,289.0
Bart Simpson,11,10,218.0
Bart Simpson,11,11,369.0
Bart Simpson,11,12,59.0
Bart Simpson,11,13,211.0
Bart Simpson,11,14,112.0
Bart Simpson,11,15,97.0
Bart Simpson,11,16,82.0
Bart Simpson,11,17,879.0
Bart Simpson,11,18,151.0
Bart Simpson,11,19,92.0
Bart Simpson,11,20,177.0
Bart Simpson,11,21,196.0
Bart Simpson,11,22,206.0
Bart Simpson,12,1,114.0
Bart Simpson,12,2,165.0
Bart Simpson,12,3,92.0
Bart Simpson,12,4,113.0
Bart Simpson,12,5,114.0
Bart Simpson,12,6,64.0
Bart Simpson,12,7,497.0
Bart Simpson,12,8,234.0
Bart Simpson,12,9,30.0
Bart Simpson,12,10,65.0
Bart Simpson,12,11,359.0
Bart Simpson,12,12,139.0
Bart Simpson,12,13,100.0
Bart Simpson,12,14,205.0
Bart Simpson,12,15,57.0
Bart Simpson,12,16,39.0
Bart Simpson,12,17,134.0
Bart Simpson,12,18,108.0
Bart Simpson,12,19,90.0
Bart Simpson,12,20,138.0
Bart Simpson,12,21,26.0
Bart Simpson,13,1,118.0
Bart Simpson,13,2,291.0
Bart Simpson,13,3,81.0
Bart Simpson,13,4,23.0
Bart Simpson,13,5,42.0
Bart Simpson,13,6,139.0
Bart Simpson,13,7,140.0
Bart Simpson,13,8,56.0
Bart Simpson,13,9,107.0
Bart Simpson,13,10,54.0
Bart Simpson,13,11,461.0
Bart Simpson,13,12,342.0
Bart Simpson,13,13,68.0
Bart Simpson,13,14,200.0
Bart Simpson,13,15,154.0
Bart Simpson,13,16,32.0
Bart Simpson,13,17,27.0
Bart Simpson,13,18,372.0
