character_names,season,word_count
Lisa Simpson,25,4523.0
Lisa Simpson,26,2085.0
Marge Simpson,1,3662.0
Marge Simpson,2,6391.0
Marge Simpson,3,5230.0
Marge Simpson,4,4147.0
Marge Simpson,5,3676.0
Marge Simpson,6,6616.0
Marge Simpson,7,4754.0
Marge Simpson,8,5777.0
Marge Simpson,9,5628.0
Marge Simpson,10,5411.0
Marge Simpson,11,4869.0
Marge Simpson,12,3465.0
Marge Simpson,13,5084.0
Marge Simpson,14,5190.0
Marge Simpson,15,5659.0
Marge Simpson,16,6073.0
Marge Simpson,17,5943.0
Marge Simpson,18,4887.0
Marge Simpson,19,4396.0
Marge Simpson,20,4245.0
Marge Simpson,21,3838.0
Marge Simpson,22,3835.0
Marge Simpson,23,3938.0
Marge Simpson,24,5829.0
Marge Simpson,25,4493.0
Marge Simpson,26,3483.0
Milhouse Van Houten,1,105.0
Milhouse Van Houten,2,274.0
Milhouse Van Houten,3,487.0
Milhouse Van Houten,4,124.0
Milhouse Van Houten,5,479.0
Milhouse Van Houten,6,741.0
Milhouse Van Houten,7,1188.0
Milhouse Van Houten,8,467.0
Milhouse Van Houten,9,493.0
Milhouse Van Houten,10,393.0
Milhouse Van Houten,11,457.0
Milhouse Van Houten,12,673.0
Milhouse Van Houten,13,471.0
Milhouse Van Houten,14,664.0
Milhouse Van Houten,15,762.0
Milhouse Van Houten,16,556.0
Milhouse Van Houten,17,886.0
Milhouse Van Houten,18,534.0
Milhouse Van Houten,19,636.0
Milhouse Van Houten,20,591.0
Milhouse Van Houten,21,600.0
Milhouse Van Houten,22,811.0
Milhouse Van Houten,23,685.0
Milhouse Van Houten,24,1148.0
Milhouse Van Houten,25,1040.0
Milhouse Van Houten,26,322.0
Moe Szyslak,1,444.0
Moe Szyslak,2,389.0
Moe Szyslak,3,1212.0
Moe Szyslak,4,376.0
Moe Szyslak,5,576.0
Moe Szyslak,6,1013.0
Moe Szyslak,7,1322.0
Moe Szyslak,8,1866.0
Moe Szyslak,9,2218.0
Moe Szyslak,10,856.0
Moe Szyslak,11,1671.0
Moe Szyslak,12,690.0
Moe Szyslak,13,1861.0
Moe Szyslak,14,1974.0
Moe Szyslak,15,833.0
Moe Szyslak,16,1206.0
Moe Szyslak,17,1649.0
Moe Szyslak,18,1842.0
Moe Szyslak,19,603.0
Moe Szyslak,20,1743.0
Moe Szyslak,21,2154.0
Moe Szyslak,22,1648.0
Moe Szyslak,23,847.0
Moe Szyslak,24,2234.0
Moe Szyslak,25,822.0
Moe Szyslak,26,1896.0
Ned Flanders,1,83.0
Ned Flanders,2,939.0
Ned Flanders,3,1041.0
Ned Flanders,4,611.0
Ned Flanders,5,1254.0
Ned Flanders,6,714.0
Ned Flanders,7,908.0
Ned Flanders,8,1526.0
Ned Flanders,9,1047.0
Ned Flanders,10,1241.0
Ned Flanders,11,1122.0
Ned Flanders,12,1206.0
Ned Flanders,13,476.0
Ned Flanders,14,1579.0
Ned Flanders,15,483.0
Ned Flanders,16,1565.0
Ned Flanders,17,941.0
Ned Flanders,18,316.0
Ned Flanders,19,402.0
Ned Flanders,20,1259.0
Ned Flanders,21,1158.0
Ned Flanders,22,856.0
Ned Flanders,23,1194.0
Ned Flanders,24,848.0
Ned Flanders,25,212.0
Ned Flanders,26,300.0
Seymour Skinner,1,668.0
Seymour Skinner,2,806.0
Seymour Skinner,3,1427.0
Seymour Skinner,4,849.0
Seymour Skinner,5,1626.0
Seymour Skinner,6,2368.0
Seymour Skinner,7,1064.0
Seymour Skinner,8,1756.0
Seymour Skinner,9,1297.0
Seymour Skinner,10,1761.0
Seymour Skinner,11,749.0
Seymour Skinner,12,1262.0
Seymour Skinner,13,659.0
Seymour Skinner,14,1293.0
Seymour Skinner,15,1237.0
Seymour Skinner,16,733.0
Seymour Skinner,17,1037.0
Seymour Skinner,18,959.0
Seymour Skinner,19,884.0
Seymour Skinner,20,1185.0
Seymour Skinner,21,744.0
Seymour Skinner,22,1397.0
Seymour Skinner,23,877.0
Seymour Skinner,24,890.0
Seymour Skinner,25,1195.0
Seymour Skinner,26,202.0
